,Close,Train_Return,Date
2018-10-13,832.5756,0.0011749268,2018-10-13
2018-10-14,830.1966,-0.0028614998,2018-10-14
2018-10-15,829.973,-0.000269413,2018-10-15
2018-10-16,833.08624,0.0037441254,2018-10-16
2018-10-17,833.0416,-5.340576e-05,2018-10-17
2018-10-18,833.5498,0.0006098747,2018-10-18
2018-10-19,832.76666,-0.0009403229,2018-10-19
2018-10-20,832.5436,-0.00026798248,2018-10-20
2018-10-21,832.59344,6.0081482e-05,2018-10-21
2018-10-22,832.5869,-7.6293945e-06,2018-10-22
2018-10-23,832.4947,-0.00011110306,2018-10-23
2018-10-24,832.5175,2.7656555e-05,2018-10-24
2018-10-25,832.329,-0.00022649765,2018-10-25
2018-10-26,832.11035,-0.00026273727,2018-10-26
2018-10-27,832.1825,8.678436e-05,2018-10-27
2018-10-28,832.28064,0.00011777878,2018-10-28
2018-10-29,832.5846,0.00036525726,2018-10-29
2018-10-30,830.981,-0.0019278526,2018-10-30
2018-10-31,831.03784,6.818771e-05,2018-10-31
2018-11-01,830.3286,-0.0008535385,2018-11-01
2018-11-02,830.66077,0.00039958954,2018-11-02
2018-11-03,831.03375,0.0004491806,2018-11-03
2018-11-04,831.08777,6.484985e-05,2018-11-04
2018-11-05,832.7505,0.0019989014,2018-11-05
2018-11-06,833.153,0.00048303604,2018-11-06
2018-11-07,835.75116,0.0031137466,2018-11-07
2018-11-08,835.736,-1.8119812e-05,2018-11-08
2018-11-09,835.4504,-0.00034189224,2018-11-09
2018-11-10,834.8331,-0.0007390976,2018-11-10
2018-11-11,834.9073,8.869171e-05,2018-11-11
2018-11-12,834.50586,-0.00048065186,2018-11-12
2018-11-13,834.5023,-4.2915344e-06,2018-11-13
2018-11-14,833.6364,-0.0010385513,2018-11-14
2018-11-15,828.25635,-0.006474495,2018-11-15
2018-11-16,827.53467,-0.0008716583,2018-11-16
2018-11-17,824.241,-0.003987789,2018-11-17
2018-11-18,823.8663,-0.00045490265,2018-11-18
2018-11-19,824.0077,0.00017166138,2018-11-19
2018-11-20,818.41174,-0.00681448,2018-11-20
2018-11-21,814.5966,-0.0046725273,2018-11-21
2018-11-22,813.16156,-0.0017633438,2018-11-22
2018-11-23,809.90924,-0.0040073395,2018-11-23
2018-11-24,809.54266,-0.0004529953,2018-11-24
2018-11-25,806.85284,-0.0033278465,2018-11-25
2018-11-26,806.92194,8.535385e-05,2018-11-26
2018-11-27,804.734,-0.0027151108,2018-11-27
2018-11-28,805.07764,0.0004272461,2018-11-28
2018-11-29,806.8212,0.0021629333,2018-11-29
2018-11-30,806.3346,-0.000603199,2018-11-30
2018-12-01,806.3362,1.9073486e-06,2018-12-01
2018-12-02,806.87994,0.00067424774,2018-12-02
2018-12-03,806.26013,-0.00076818466,2018-12-03
2018-12-04,805.23065,-0.0012779236,2018-12-04
2018-12-05,805.12463,-0.00013160706,2018-12-05
2018-12-06,803.16266,-0.0024399757,2018-12-06
2018-12-07,801.12354,-0.002542019,2018-12-07
2018-12-08,800.5527,-0.00071287155,2018-12-08
2018-12-09,799.58545,-0.0012087822,2018-12-09
2018-12-10,800.20874,0.0007791519,2018-12-10
2018-12-11,799.5772,-0.00078964233,2018-12-11
2018-12-12,799.21423,-0.00045394897,2018-12-12
2018-12-13,799.1836,-3.8146973e-05,2018-12-13
2018-12-14,798.2958,-0.0011115074,2018-12-14
2018-12-15,797.9119,-0.0004811287,2018-12-15
2018-12-16,797.5774,-0.00041913986,2018-12-16
2018-12-17,797.5642,-1.66893e-05,2018-12-17
2018-12-18,799.3733,0.0022654533,2018-12-18
2018-12-19,800.7906,0.00177145,2018-12-19
2018-12-20,801.69324,0.0011267662,2018-12-20
2018-12-21,804.8973,0.003988743,2018-12-21
2018-12-22,804.0431,-0.0010619164,2018-12-22
2018-12-23,806.3412,0.0028538704,2018-12-23
2018-12-24,808.6506,0.0028600693,2018-12-24
2018-12-25,811.34595,0.0033278465,2018-12-25
2018-12-26,810.6159,-0.00090026855,2018-12-26
2018-12-27,811.51154,0.0011043549,2018-12-27
2018-12-28,807.85596,-0.004515171,2018-12-28
