,Close,Train_Return,Date
2018-10-15,6971.7036,-0.25509596,2018-10-15
2018-10-16,7004.088,0.46451092,2018-10-16
2018-10-17,7036.921,0.4687667,2018-10-17
2018-10-18,7033.4116,-0.049871206,2018-10-18
2018-10-19,7004.8003,-0.40678978,2018-10-19
2018-10-22,7026.486,0.30958652,2018-10-22
2018-10-23,7020.901,-0.079482794,2018-10-23
2018-10-24,6927.9604,-1.3237655,2018-10-24
2018-10-25,6932.7524,0.06916523,2018-10-25
2018-10-26,6976.9043,0.6368637,2018-10-26
2018-10-29,6908.9634,-0.97379684,2018-10-29
2018-10-30,6998.0884,1.2899876,2018-10-30
2018-10-31,7014.5713,0.23553371,2018-10-31
2018-11-01,7103.4927,1.2676716,2018-11-01
2018-11-02,7097.181,-0.088852644,2018-11-02
2018-11-05,7075.167,-0.31018257,2018-11-05
2018-11-06,7083.306,0.115036964,2018-11-06
2018-11-07,7021.4604,-0.87311864,2018-11-07
2018-11-08,7092.894,1.0173559,2018-11-08
2018-11-09,7120.947,0.39550066,2018-11-09
2018-11-12,7087.696,-0.46694875,2018-11-12
2018-11-13,7034.1763,-0.7551074,2018-11-13
2018-11-14,7032.0015,-0.03091693,2018-11-14
2018-11-15,7011.7505,-0.2879858,2018-11-15
2018-11-16,7014.935,0.04541874,2018-11-16
2018-11-19,6990.414,-0.34955144,2018-11-19
2018-11-20,6975.5684,-0.21237135,2018-11-20
2018-11-21,6917.8696,-0.8271575,2018-11-21
2018-11-22,7022.731,1.5158057,2018-11-22
2018-11-23,6934.877,-1.2509942,2018-11-23
2018-11-26,6922.1816,-0.18306375,2018-11-26
2018-11-27,7009.3022,1.2585759,2018-11-27
2018-11-28,6994.894,-0.20555854,2018-11-28
2018-11-29,6979.4897,-0.22022128,2018-11-29
2018-11-30,7014.4946,0.5015373,2018-11-30
2018-12-03,6954.941,-0.84900856,2018-12-03
2018-12-04,7036.4795,1.1723876,2018-12-04
2018-12-05,7001.941,-0.4908502,2018-12-05
2018-12-06,6890.3247,-1.5940726,2018-12-06
2018-12-07,6693.9155,-2.8505087,2018-12-07
2018-12-10,6740.365,0.69390535,2018-12-10
2018-12-11,6700.102,-0.5973458,2018-12-11
2018-12-12,6760.5347,0.9019613,2018-12-12
2018-12-13,6849.309,1.3131261,2018-12-13
2018-12-14,6836.999,-0.17972589,2018-12-14
2018-12-17,6793.8823,-0.630635,2018-12-17
2018-12-18,6739.862,-0.7951319,2018-12-18
2018-12-19,6681.8223,-0.8611381,2018-12-19
2018-12-20,6728.8374,0.70363283,2018-12-20
2018-12-21,6691.6104,-0.55324435,2018-12-21
2018-12-24,6694.265,0.03967285,2018-12-24
2018-12-27,6666.8247,-0.4099071,2018-12-27
2018-12-28,6575.175,-1.3747156,2018-12-28
2018-12-31,6701.161,1.9160867,2018-12-31
2019-01-02,6720.523,0.28892756,2019-01-02
2019-01-03,6706.2563,-0.21228194,2019-01-03
2019-01-04,6672.6196,-0.5015731,2019-01-04
2019-01-07,6785.8247,1.6965628,2019-01-07
2019-01-08,6776.0425,-0.14415383,2019-01-08
2019-01-09,6811.864,0.5286455,2019-01-09
2019-01-10,6870.189,0.85623264,2019-01-10
2019-01-11,6910.633,0.58869123,2019-01-11
2019-01-14,6882.6523,-0.4048884,2019-01-14
2019-01-15,6807.3325,-1.0943413,2019-01-15
2019-01-16,6851.638,0.65084696,2019-01-16
2019-01-17,6816.68,-0.51021576,2019-01-17
2019-01-18,6785.201,-0.46179295,2019-01-18
2019-01-21,6934.6445,2.202487,2019-01-21
2019-01-22,6947.82,0.18999577,2019-01-22
2019-01-23,6864.016,-1.2061894,2019-01-23
2019-01-24,6792.9487,-1.0353625,2019-01-24
2019-01-25,6773.297,-0.2892971,2019-01-25
2019-01-28,6765.21,-0.119394064,2019-01-28
2019-01-29,6718.4175,-0.6916642,2019-01-29
2019-01-30,6780.463,0.92351437,2019-01-30
2019-01-31,6919.0483,2.043891,2019-01-31
2019-02-01,6944.2114,0.3636837,2019-02-01
2019-02-04,6994.4937,0.72408915,2019-02-04
2019-02-05,7011.2793,0.23998022,2019-02-05
2019-02-06,7148.8193,1.9616961,2019-02-06
2019-02-07,7156.104,0.1019001,2019-02-07
2019-02-08,7078.0957,-1.0900974,2019-02-08
2019-02-11,7051.8164,-0.37127733,2019-02-11
2019-02-12,7105.937,0.7674694,2019-02-12
2019-02-13,7114.012,0.113642216,2019-02-13
2019-02-14,7166.351,0.73571205,2019-02-14
2019-02-15,7176.3833,0.13998747,2019-02-15
2019-02-18,7210.9116,0.4811406,2019-02-18
2019-02-19,7199.2236,-0.16208887,2019-02-19
2019-02-20,7161.583,-0.52284,2019-02-20
2019-02-21,7202.3096,0.568676,2019-02-21
2019-02-22,7151.898,-0.69993734,2019-02-22
2019-02-25,7157.425,0.07728338,2019-02-25
2019-02-26,7163.076,0.07895231,2019-02-26
2019-02-27,7133.5527,-0.41216016,2019-02-27
2019-02-28,7089.9727,-0.6109178,2019-02-28
2019-03-01,7055.806,-0.4818976,2019-03-01
2019-03-04,7084.91,0.41248798,2019-03-04
2019-03-05,7113.5537,0.40428638,2019-03-05
2019-03-06,7160.1265,0.65470934,2019-03-06
2019-03-07,7174.8687,0.20589828,2019-03-07
2019-03-08,7140.4116,-0.48024654,2019-03-08
2019-03-11,7087.5776,-0.73993206,2019-03-11
2019-03-12,7109.2905,0.30635595,2019-03-12
2019-03-13,7130.5215,0.2986312,2019-03-13
2019-03-14,7139.0996,0.120306015,2019-03-14
2019-03-15,7163.2837,0.33875704,2019-03-15
2019-03-18,7203.0645,0.5553484,2019-03-18
2019-03-19,7265.9663,0.87326765,2019-03-19
2019-03-20,7292.3643,0.36331415,2019-03-20
2019-03-21,7266.988,-0.34798384,2019-03-21
2019-03-22,7315.239,0.6639719,2019-03-22
2019-03-25,7197.358,-1.6114414,2019-03-25
2019-03-26,7159.4263,-0.52702427,2019-03-26
2019-03-27,7174.0093,0.20369291,2019-03-27
2019-03-28,7173.7593,-0.0034868717,2019-03-28
2019-03-29,7208.5674,0.48521757,2019-03-29
2019-04-01,7249.9956,0.574708,2019-04-01
2019-04-02,7284.9624,0.48229694,2019-04-02
2019-04-03,7345.7954,0.83504915,2019-04-03
2019-04-04,7374.2427,0.3872633,2019-04-04
2019-04-05,7364.359,-0.13403296,2019-04-05
2019-04-08,7395.718,0.42581558,2019-04-08
2019-04-09,7405.049,0.12617111,2019-04-09
2019-04-10,7385.764,-0.2604246,2019-04-10
2019-04-11,7379.829,-0.08035898,2019-04-11
2019-04-12,7376.6733,-0.042760372,2019-04-12
2019-04-15,7390.466,0.18697977,2019-04-15
2019-04-16,7392.6655,0.02976656,2019-04-16
2019-04-17,7416.5415,0.32297373,2019-04-17
2019-04-18,7421.7856,0.07070303,2019-04-18
2019-04-23,7413.418,-0.112742186,2019-04-23
2019-04-24,7456.623,0.5827904,2019-04-24
2019-04-25,7428.9165,-0.3715694,2019-04-25
2019-04-26,7393.833,-0.47225356,2019-04-26
2019-04-29,7385.396,-0.11410713,2019-04-29
2019-04-30,7394.2617,0.120043755,2019-04-30
2019-05-01,7379.0176,-0.20616055,2019-05-01
2019-05-02,7351.109,-0.3782153,2019-05-02
2019-05-03,7321.0444,-0.40897727,2019-05-03
2019-05-07,7340.639,0.2676487,2019-05-07
2019-05-08,7245.711,-1.2931883,2019-05-08
2019-05-09,7244.312,-0.019305944,2019-05-09
2019-05-10,7190.6865,-0.740242,2019-05-10
2019-05-13,7182.216,-0.11780262,2019-05-13
2019-05-14,7146.409,-0.49854517,2019-05-14
2019-05-15,7212.271,0.921607,2019-05-15
2019-05-16,7265.8296,0.74260235,2019-05-16
2019-05-17,7315.2593,0.6803036,2019-05-17
2019-05-20,7316.7363,0.020194054,2019-05-20
2019-05-21,7285.2725,-0.43002367,2019-05-21
2019-05-22,7296.2573,0.15077591,2019-05-22
2019-05-23,7302.578,0.08662939,2019-05-23
2019-05-24,7216.1313,-1.183784,2019-05-24
2019-05-28,7247.55,0.4353881,2019-05-28
2019-05-29,7245.0015,-0.03516078,2019-05-29
2019-05-30,7170.4917,-1.0284305,2019-05-30
2019-05-31,7193.6772,0.32334328,2019-05-31
2019-06-03,7145.7964,-0.6655991,2019-06-03
2019-06-04,7162.599,0.23514032,2019-06-04
2019-06-05,7190.8,0.39372444,2019-06-05
2019-06-06,7198.1167,0.10175705,2019-06-06
2019-06-07,7232.374,0.47591925,2019-06-07
2019-06-10,7294.7705,0.8627415,2019-06-10
2019-06-11,7335.797,0.5624056,2019-06-11
2019-06-12,7357.406,0.29456615,2019-06-12
2019-06-13,7335.7285,-0.29463172,2019-06-13
2019-06-14,7332.9985,-0.03721714,2019-06-14
2019-06-17,7315.378,-0.24029016,2019-06-17
2019-06-18,7322.1045,0.091946125,2019-06-18
2019-06-19,7388.0063,0.90004206,2019-06-19
2019-06-20,7368.8477,-0.25932193,2019-06-20
2019-06-21,7379.1895,0.1403451,2019-06-21
2019-06-24,7369.2163,-0.13515353,2019-06-24
2019-06-25,7374.028,0.06529093,2019-06-25
2019-06-26,7379.509,0.07432699,2019-06-26
2019-06-27,7375.6016,-0.052946806,2019-06-27
2019-06-28,7364.1646,-0.15506744,2019-06-28
2019-07-01,7380.1265,0.21674633,2019-07-01
2019-07-02,7434.7427,0.74003935,2019-07-02
2019-07-03,7486.436,0.6953001,2019-07-03
2019-07-04,7528.235,0.5583286,2019-07-04
2019-07-05,7532.2183,0.052917004,2019-07-05
2019-07-08,7496.675,-0.471884,2019-07-08
2019-07-09,7486.841,-0.1311779,2019-07-09
2019-07-10,7477.848,-0.12011528,2019-07-10
2019-07-11,7472.036,-0.07772446,2019-07-11
2019-07-12,7456.6353,-0.20611286,2019-07-12
2019-07-15,7451.155,-0.07349849,2019-07-15
2019-07-16,7468.712,0.23562908,2019-07-16
2019-07-17,7503.1074,0.46052933,2019-07-17
2019-07-18,7481.314,-0.2904594,2019-07-18
2019-07-19,7444.8896,-0.48686862,2019-07-19
2019-07-22,7450.7837,0.07916689,2019-07-22
2019-07-23,7457.538,0.090658665,2019-07-23
2019-07-24,7487.1094,0.39652586,2019-07-24
2019-07-25,7454.4854,-0.4357338,2019-07-25
2019-07-26,7437.763,-0.22432208,2019-07-26
