,Close,Train_Return,Date
2018-10-15,2815.3848,-2.8533697,2018-10-15
2018-10-16,2765.6826,-1.7653763,2018-10-16
2018-10-17,2799.6943,1.229775,2018-10-17
2018-10-18,2788.0068,-0.417459,2018-10-18
2018-10-19,2840.7832,1.8929839,2018-10-19
2018-10-22,2838.42,-0.0831902,2018-10-22
2018-10-23,2802.08,-1.2802839,2018-10-23
2018-10-24,2800.5483,-0.05466342,2018-10-24
2018-10-25,2788.9526,-0.41404963,2018-10-25
2018-10-26,2770.9854,-0.64423084,2018-10-26
2018-10-29,2702.0225,-2.4887502,2018-10-29
2018-10-30,2741.0325,1.4437318,2018-10-30
2018-10-31,2702.2888,-1.4134705,2018-10-31
2018-11-01,2689.3103,-0.48027635,2018-11-01
2018-11-02,2724.039,1.2913585,2018-11-02
2018-11-05,2749.835,0.94697475,2018-11-05
2018-11-06,2774.1,0.8824229,2018-11-06
2018-11-07,2759.5789,-0.5234599,2018-11-07
2018-11-08,2773.9336,0.52018166,2018-11-08
2018-11-09,2792.4258,0.6666422,2018-11-09
2018-11-12,2844.1208,1.8512607,2018-11-12
2018-11-13,2836.8643,-0.25514364,2018-11-13
2018-11-14,2811.0251,-0.91083646,2018-11-14
2018-11-15,2761.5571,-1.7597854,2018-11-15
2018-11-16,2757.0513,-0.16316175,2018-11-16
2018-11-19,2740.6785,-0.593853,2018-11-19
2018-11-20,2765.751,0.914824,2018-11-20
2018-11-21,2768.8242,0.11111498,2018-11-21
2018-11-23,2728.1545,-1.4688432,2018-11-23
2018-11-26,2689.0178,-1.4345467,2018-11-26
2018-11-27,2695.0425,0.22404194,2018-11-27
2018-11-28,2682.0442,-0.4823029,2018-11-28
2018-11-29,2715.458,1.2458324,2018-11-29
2018-11-30,2724.857,0.34612417,2018-11-30
2018-12-03,2777.9182,1.9473076,2018-12-03
2018-12-04,2773.72,-0.15112758,2018-12-04
2018-12-06,2795.4585,0.78372955,2018-12-06
2018-12-07,2818.1997,0.81350803,2018-12-07
2018-12-10,2737.952,-2.8474867,2018-12-10
2018-12-11,2732.0923,-0.21401644,2018-12-11
2018-12-12,2681.6553,-1.8460929,2018-12-12
2018-12-13,2685.3594,0.1381278,2018-12-13
2018-12-14,2684.9329,-0.015884638,2018-12-14
2018-12-17,2696.4158,0.42767525,2018-12-17
2018-12-18,2694.724,-0.06273985,2018-12-18
2018-12-19,2653.5925,-1.5263736,2018-12-19
2018-12-20,2612.658,-1.5426099,2018-12-20
2018-12-21,2612.4243,-0.008940697,2018-12-21
2018-12-24,2586.7153,-0.9841025,2018-12-24
2018-12-26,2565.897,-0.8048177,2018-12-26
2018-12-27,2546.0398,-0.7738888,2018-12-27
2018-12-28,2529.1243,-0.6643832,2018-12-28
2018-12-31,2566.331,1.471138,2018-12-31
2019-01-02,2576.7458,0.40582418,2019-01-02
2019-01-03,2575.2476,-0.05814433,2019-01-03
2019-01-04,2586.938,0.45394897,2019-01-04
2019-01-07,2588.3958,0.05635023,2019-01-07
2019-01-08,2557.9163,-1.1775434,2019-01-08
2019-01-09,2603.042,1.7641544,2019-01-09
2019-01-10,2615.6304,0.48360825,2019-01-10
2019-01-11,2634.203,0.7100582,2019-01-11
2019-01-14,2642.5527,0.3169775,2019-01-14
2019-01-15,2651.7498,0.34803152,2019-01-15
2019-01-16,2651.237,-0.019335747,2019-01-16
2019-01-17,2640.9119,-0.3894508,2019-01-17
2019-01-18,2662.9595,0.8348465,2019-01-18
2019-01-22,2667.977,0.1884222,2019-01-22
2019-01-23,2684.7312,0.6279707,2019-01-23
2019-01-24,2711.6875,1.0040641,2019-01-24
2019-01-25,2681.5322,-1.1120498,2019-01-25
2019-01-28,2686.2742,0.17683506,2019-01-28
2019-01-29,2689.7356,0.12885332,2019-01-29
2019-01-30,2707.2344,0.6505728,2019-01-30
2019-01-31,2690.354,-0.62353015,2019-01-31
2019-02-01,2688.2566,-0.077962875,2019-02-01
2019-02-04,2722.452,1.2720227,2019-02-04
2019-02-05,2741.802,0.71076155,2019-02-05
2019-02-06,2744.6638,0.104379654,2019-02-06
2019-02-07,2761.134,0.6000757,2019-02-07
2019-02-08,2772.1602,0.39932728,2019-02-08
2019-02-11,2765.49,-0.24061203,2019-02-11
2019-02-12,2743.512,-0.7947266,2019-02-12
2019-02-13,2745.1523,0.05979538,2019-02-13
2019-02-14,2748.3623,0.11693239,2019-02-14
2019-02-15,2779.5544,1.134932,2019-02-15
2019-02-19,2786.6477,0.25519133,2019-02-19
2019-02-20,2781.6367,-0.17982125,2019-02-20
2019-02-21,2808.88,0.97938776,2019-02-21
2019-02-22,2812.8877,0.1426816,2019-02-22
2019-02-25,2816.849,0.14083385,2019-02-25
2019-02-26,2808.8892,-0.28258562,2019-02-26
2019-02-27,2825.0237,0.57440996,2019-02-27
2019-02-28,2827.9785,0.10459423,2019-02-28
2019-03-01,2825.942,-0.07201433,2019-03-01
2019-03-04,2824.212,-0.06121993,2019-03-04
2019-03-05,2818.0837,-0.21698475,2019-03-05
2019-03-06,2834.6287,0.58709383,2019-03-06
2019-03-07,2824.8406,-0.34530163,2019-03-07
2019-03-08,2821.1313,-0.13130903,2019-03-08
2019-03-11,2803.517,-0.6243706,2019-03-11
2019-03-12,2782.811,-0.7385731,2019-03-12
2019-03-13,2779.647,-0.11370182,2019-03-13
2019-03-14,2816.418,1.3228655,2019-03-14
2019-03-15,2824.701,0.29410124,2019-03-15
2019-03-18,2841.623,0.59907436,2019-03-18
2019-03-19,2840.0952,-0.05376339,2019-03-19
2019-03-20,2852.4697,0.43570995,2019-03-20
2019-03-21,2861.1997,0.306046,2019-03-21
2019-03-22,2860.6133,-0.020498037,2019-03-22
2019-03-25,2854.726,-0.20580292,2019-03-25
2019-03-26,2878.1787,0.82154274,2019-03-26
2019-03-27,2832.255,-1.5955865,2019-03-27
2019-03-28,2831.091,-0.041091442,2019-03-28
2019-03-29,2847.9963,0.59713125,2019-03-29
2019-04-01,2837.0957,-0.38274527,2019-04-01
2019-04-02,2846.5596,0.33357143,2019-04-02
2019-04-03,2863.5254,0.5960107,2019-04-03
2019-04-04,2889.582,0.90994835,2019-04-04
2019-04-05,2889.754,0.0059485435,2019-04-05
2019-04-08,2894.6255,0.16858578,2019-04-08
2019-04-09,2899.445,0.16649961,2019-04-09
2019-04-10,2909.5632,0.34897327,2019-04-10
2019-04-11,2911.5842,0.06946325,2019-04-11
2019-04-12,2898.4583,-0.45081973,2019-04-12
2019-04-15,2906.0469,0.26181936,2019-04-15
2019-04-16,2906.4265,0.013065338,2019-04-16
2019-04-17,2920.649,0.4893422,2019-04-17
2019-04-18,2919.3047,-0.046026707,2019-04-18
2019-04-22,2920.3271,0.03502369,2019-04-22
2019-04-23,2915.4624,-0.16658306,2019-04-23
2019-04-24,2918.9153,0.11843443,2019-04-24
2019-04-25,2921.3896,0.084769726,2019-04-25
2019-04-26,2940.3137,0.64777136,2019-04-26
2019-04-29,2935.5576,-0.16175508,2019-04-29
2019-04-30,2934.8772,-0.023180246,2019-04-30
2019-05-01,2945.0212,0.3456354,2019-05-01
2019-05-02,2947.3582,0.0793457,2019-05-02
2019-05-03,2949.2876,0.06545782,2019-05-03
2019-05-06,2932.881,-0.5562842,2019-05-06
2019-05-07,2928.5537,-0.14754534,2019-05-07
2019-05-08,2949.188,0.7045865,2019-05-08
2019-05-09,2939.0476,-0.34383535,2019-05-09
2019-05-10,2902.747,-1.2351096,2019-05-10
2019-05-13,2899.068,-0.12674332,2019-05-13
2019-05-14,2892.5977,-0.22318959,2019-05-14
2019-05-15,2899.4563,0.23710728,2019-05-15
2019-05-16,2843.5063,-1.9296706,2019-05-16
2019-05-17,2863.0195,0.6862402,2019-05-17
2019-05-20,2877.0835,0.49122572,2019-05-20
2019-05-21,2896.4731,0.6739378,2019-05-21
2019-05-22,2882.9512,-0.46684146,2019-05-22
2019-05-23,2868.1716,-0.5126536,2019-05-23
2019-05-24,2887.1287,0.660944,2019-05-24
